wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xee845948e6806d12e966137caa07d49bbe632fe3,13415,47760.18349,3.560207491,90,232,ethereum
0x8afaacdfaab4a6938a2da1705a6a2679bfc74e63,143767,7.588570164,5.28E-05,90,119702,ethereum
0x3980daa7eaad0b7e0c53cfc5c2760037270da54d,42235,4.999384848,0.000118371,90,26,ethereum
0xc83b29f780143fcbc44737e6ea9ff43ae39b917c,9475,1,0.000105541,90,2,ethereum
0xf6f5d7b95b63b5c9a96037ba3264ea8fc663e732,16,0.001587934,9.92E-05,58,3,ethereum
0x43141c86ee6112c7d7c18931b3547c40a8b7fb48,36,0.063695943,0.001769332,73,6,ethereum
0x8a1e76952852ea91cc6971c6ea04e1c5b5c38189,7222,0.080691881,1.12E-05,26,1,ethereum
0x228b6b21d1e410ee6b3731ff4b421cc99deccc70,21,1.10E-08,5.24E-10,76,7,ethereum
0x2e1c9b2670802fde14a789071b6703fe29bfbbff,7639,0.500030948,6.55E-05,90,4,ethereum
0xb3349f205e81318b3f24a264842754ca03239457,6,2.10E-17,4.00E-18,3,2,ethereum
0xb4c358c8460a0fff0fefa94afc39e890caf402bd,91,1.32458654,0.014555896,88,42,ethereum
0x563cd7dc7408966d3a5daead2cd2f044afcce6d9,128,1.86E-07,1.45E-09,86,22,ethereum
0x3244399c2ba5527ab28154016c1638e620c057a9,7,0.147971607,0.021138801,1,4,ethereum
0x007849db50341e18acee281c9a970a183c6c7e62,3404,5759.505544,1.691981652,90,761,ethereum
0x13ccf6487fe17cfd151e0f92c766491bb4d9219d,6,0.099380359,0.016563393,61,5,ethereum
0x1ec3b87045448e097f682d31407e74cbc1093756,9,2.42E-05,2.69E-06,3,2,ethereum
0xde20862b46146117d1b3b3a3651cd868332ca2fd,548,13.20129502,0.024089954,87,21,ethereum
0x425f473795b15fae7310cfb3b4ba8e0bfeffc421,19833,3.151753215,0.000158915,90,18550,ethereum
0x9efdf4180b4b1170a449f9199d0e90754f3697d7,7,43.86179564,6.265970806,3,3,ethereum
0x31e746bbeb5a7c9b0bb4261bf4555010deaac521,88,3.50E-08,3.98E-10,46,12,ethereum
0xf64cd87e175c003c92d33ea148b68ccae6d1a02b,539,6.004300382,0.011139704,89,27,ethereum
0xd7053254ba6640ce68d4496e329845de5ad36bc3,16,0.24227628,0.015142268,28,3,ethereum
0xc5398a5c365f505928e9dc8acb0de46be58ebbdc,77,0.000772761,1.00E-05,89,3,ethereum
0x4e565f63257d90f988e5ec9d065bab00f94d2dfd,41103,1935.339281,0.04708511,90,1212,ethereum
0xd7d58eb413cf79c75e3ce3259dbba83fc1fe94c7,504,36.74044164,0.072897702,90,74,ethereum
0xc255454204c94edd9adec9f336a08e7e1a2068c5,2893,0,0,88,1,ethereum
0xd5274551dadf2c94e8f6c1d1dccc8572da083383,30,0.003131057,0.000104369,51,12,ethereum
0x9289cc6d8700e5ce7864a27a3c07d10dae13052d,51,0.244097967,0.004786235,29,15,ethereum
0x0fc9afc37183b5b1ed0abf8ca3385fde7dee51ee,37,1.224795524,0.033102582,6,9,ethereum
0x900537590e1d242f8c5c81c7b7a985171146505c,64,5.10E-08,7.97E-10,88,35,ethereum
0xd87403277b80e0272779032871c13d49f6198760,327,18.42031237,0.05633123,49,122,ethereum
0x7238b391b33073016c5a0f56cdd5d1a302bfb646,636,2.15E-06,3.38E-09,90,19,ethereum
0xdf975940460a5d6e40599bebd84ce5b43260c8e4,98,8.20E-08,8.37E-10,84,10,ethereum
0xb9a01f823feb2efcb9535729091c37b0ecce43d3,10,2.11E-05,2.11E-06,25,4,ethereum
0x0a38516f8c6c69632e225ca8694c893b8e5eccaa,28,2.00E-08,7.14E-10,85,15,ethereum
0x991b767357e9e728b5bdbdb089d16e2ffe919789,13637,1290.152904,0.094606798,90,103,ethereum
0x437a9f70f0b7180a79b80ff56e323bef4164063a,67,3.54E-05,5.28E-07,12,3,ethereum
0x07ce77a60cebfd24499eb2c4e90653d808e93406,9,0.002230341,0.000247816,21,2,ethereum
0x5c3ecd33ce8c1a257ed990a3b14c88c922eaa650,18,6.493032855,0.360724047,19,6,ethereum
0xd43d8a8f8dc2bd2363fd988ac27b3dc19ebf4b3d,20,0.980788949,0.049039447,82,3,ethereum
0x8d5cc77e6d135fd0700986e9d5b02ba538f582e6,3233,1.11E-07,3.43E-11,90,45,ethereum
0x1f41634ba0d48f5e5c7c877df8069ad7bb526f0b,12,1.20E-08,1.00E-09,34,4,ethereum
0xd89f7ec6ae55bd8550135f95e4865bb95ba95474,37,6.79E-05,1.83E-06,8,2,ethereum
0x87065723f2dcf3d62011e0ae8faad0cb531d6004,9,0.117991391,0.013110155,5,3,ethereum
0x2726966c4090f1d5737ffddd0c2fd8a49736d4e3,22,11.83230844,0.537832202,19,17,ethereum
0x2965442564d082b21c624c1783f3a67660c127a5,243,0.246512771,0.001014456,90,47,ethereum
0x0e3f97adfc1e57fe9125bdaaaa0d9cea57115116,45,5.078116081,0.112847024,1,22,ethereum
0x9ac2486c32f9b92298b33f6a389f949309bd5118,15,0.038520969,0.002568065,60,8,ethereum
0x5a335cc3652ec2c39213278ccfaa68efc59bc4f1,26,0.633298984,0.024357653,10,2,ethereum
0xd5f0e2912c70771c589cd8bb087ede0dab4afa9a,2155,172.24,0.079925754,90,2,ethereum
0x28d1783280ecd4956da3d721ae4d907517dbd982,6,2.10E-17,4.00E-18,4,2,ethereum
0x1f3cf6794c0df691c0b13e097493983b4e6b94f6,65,2.659096393,0.040909175,13,15,ethereum
0x4f8f430d5140148fcf8afc65dd5ca502a5f2a82b,781,0.238107242,0.000304875,49,2,ethereum
0xbf513bf222efc2c2d4b069fc22fefda79f352f46,12,1.20E-07,1.00E-08,1,6,ethereum
0x932011a089b1dc05203e48dd255b119d85786079,9,0.094893219,0.010543691,2,4,ethereum
0x8155babfecc4a4c725c5d0409afcf81ea20e38ae,613,438.8164925,0.715850722,89,3,ethereum
0x24ff4acf79ea79158b4ab47f42bb1119b7c71254,324,2.229583536,0.006881431,90,10,ethereum
0x26b39898dde1c63995f070e34388ea3f72f0de76,167,0.013415209,8.03E-05,73,22,ethereum
0xd07fae800554e49ce0fcb66894b1232642f693e8,58,6.936822987,0.119600396,48,14,ethereum
0x6e7a1f12892f12c7fa5c163454170a317abbf2d6,334,222.6242915,0.666539795,90,44,ethereum
0xa7bb1e9bdad8260f7c1c3269f95c452b68319771,6,0.007943677,0.001323946,27,4,ethereum
0x1ce4b6661750cb5b0ff30d8dfda98b744dcb7e0f,24,0.35920718,0.014966966,7,5,ethereum
0x33f26dc8533873c8b12226a6f2a67b2d8e6aafe9,61,2.046309455,0.033546057,15,3,ethereum
0x0a4605c9a7fc99a70ef1db97208d2d091907c573,122,0.505020529,0.004139513,23,33,ethereum
