wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0x9585e75b56f9a98049405306c00ec427bb76e512,3473094,777000.214,0.223719892,84,6,polygon
0x2d3faeac23567d32b249b2325689f6f76dda4a28,94998,0,0,90,4,polygon
0xca1ef33a9522ef11265858592f0209b45473c846,57803,0.0001,1.73E-09,90,5,polygon
0x7f24c87276cc5c270efcd90cff8d18212d5558ed,2082,171.1000001,0.082180596,90,29,polygon
0xe076c678d6b8eef70cee55d07e7a11b2b0c21646,131,42.00004,0.320610992,88,11,polygon
0x9358823c60ba61c288ced9ec36e6a7b0d10f3d24,424,50.00001,0.117924552,89,16,polygon
0x6520fc9b0737a04bfd3db08c09f7f9c12fae5127,906,0,0,90,11,polygon
0x52a258ed593c793251a89bfd36cae158ee9fc4f8,33103,3319668.136,100.2829996,90,3067,polygon
0xf272fc093c35357fb7ce131c410fd43ed28e8e57,32598,1700,0.052150439,90,7304,polygon
0x4024aab4127c426608e976f64eff494a7f6bca20,4412,6328.617626,1.43441016,90,72,polygon
0xaf79f5e550d7417dc6dfeedbbc0503bc47388f02,64,0.344895573,0.005388993,2,3,polygon
0xbe4419435bda7a65c2b9d04cd209f7f7c60271fe,25,0.327558383,0.013102335,81,3,polygon
0xef9ce3bd723ba710c507559502799a4b8df4588b,132,102,0.772727273,90,10,polygon
0x106dfb0582989d99a195790effae65c949604bfb,2820,9.5,0.003368794,90,19,polygon
0x59eee9fe427f27b0f78a2289af661d8ddcdfb7e7,3720,2690,0.72311828,90,2,polygon
0x8b55c4a44d8ff06a5abf08df53c5a7e23deb83dd,494,33,0.066801619,89,12,polygon
0xaaa110c915de92f693319cb6703d601ca95cc003,5152,473.5377675,0.091913387,90,7,polygon
0x88888432d14c84eefc617b009400adf5144cd8e5,1257,98.25765642,0.078168382,43,4,polygon
0x144b2eacd51e5f38fb359f35f2149235f851b00d,1024,30,0.029296875,90,7,polygon
0xfd552dc0b735b9463c5aea9dd7070aba1fe3b640,536,15.92897394,0.029718235,38,2,polygon
0x4a108110017054424060e540376994da3224fcbd,837,50.0000402,0.059737205,88,32,polygon
0x504c5837d7bca6eadaedfb7a34eb2b5d987c5b75,18,1.00E-09,5.56E-11,53,5,polygon
0x0ae94f9048c7c8dbf4ca26fa12b32334ec972360,16,0,0,90,4,polygon
0x5078c673bb9c9975d7fc0a6ccc6273c6d8d6dd45,41,304.1496492,7.418284126,35,8,polygon
0x1f8b6d3b8f8030969f326ed18737412197132fcb,43,1.05,0.024418605,19,2,polygon
0xec3dc7c3b08e002e626eb3ce396075e638624e47,19,0.077556776,0.004081936,55,2,polygon
0xd6ee4cc4bb0e1ebb06f95e2751bf53f3995b4efb,785,32.00002,0.040764357,89,17,polygon
0xbedf6f8b5868b007df637deec019697ca6118447,2755,179.5803841,0.065183443,19,13,polygon
0xd59e40516ebff5224affe608afaf1070a697180f,107,20,0.186915888,69,11,polygon
0x865573641729855f96ab3cdc6d7f77f456e1e799,128,40.11338925,0.313385854,86,13,polygon
0x763cb42fdd2909253eb20ca1429fea4e996e37e3,536,90.5000001,0.168843284,90,19,polygon
0xe3c01673d7b8dba61df619eb3191b18da86901f0,866,143.00003,0.165127055,90,25,polygon
0x2c17090e4383aea662bff3d6bcbbb629e2d203f0,108,1.455780003,0.013479444,89,4,polygon
0x8a2c696032397b5ab34dcb6bc8c9287a5fc07e5a,178,2.86954798,0.016121056,3,6,polygon
0xe6fba0931e6d557303572bf4fd453c2e114f9464,6790,0,0,90,4,polygon
0x66591b87bb54af74b2648596b0d00a5352370f3e,239,50,0.209205021,84,15,polygon
0xe1a24764e3772f4aca0c27fbed2899de191e3c9e,590,0,0,19,1,polygon
0x17b3fb707f0e718f28b314fccff7e35af9722c58,46,27.00007,0.586958043,89,13,polygon
0xd52c06be0317b01d6bc8dada02bfe911e145eb15,4407,0,0,90,1,polygon
0xaaaf0666a916bdf97710a8e44e42ba250490e5b8,1145,0,0,90,254,polygon
0xd8fcefd0f93106eea2b7510b875bb633f1d81fef,65,32.3410079,0.497553968,88,2,polygon
0x4f05dde4ecf0f83f3cb2bcf9da557e52d5f341d1,77,0.6,0.007792208,73,2,polygon
0xf2fc373419caab4c3c47caffddce22a4a698d726,652,62.50005028,0.095858973,90,49,polygon
0x576b7b5f6f4ba99314f281f1bf23b63e30dbc3b5,3499,319,0.091168905,90,24,polygon
